,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
463,64,-22,BE:FIRST X ATEEZ - Hush-Hush,3,42,,1883,-1228,0.008,116.0,,142.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
464,65,+27,NewJeans - How Sweet,40,21,,1879,228,0.108,,,,,33.0,,,,,,,,,,,,,54.0,,,,,,,19.0,,,,,,,,,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2024-07-02
465,66,+131,Billie Eilish - LUNCH,47,4,,1855,891,0.26,102.0,115.0,100.0,57.0,,37.0,,125.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
466,67,+23,Jung Kook - Standing Next to You,121,1,(x7),1827,157,0.547,,,,7.0,,,,,,,,,,,54.0,,159.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
467,68,+16,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",70,56,,1826,117,0.128,,,11.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
468,69,-7,DJ Tons - Always Remember Us This Way,163,13,,1807,-327,0.458,,197.0,41.0,51.0,,,,90.0,,,187.0,,,106.0,,,178.0,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
469,70,+80,"Will Smith, Fridayy & Sunday Service Choir - You Can Make It",2,70,,1799,561,0.003,36.0,148.0,,154.0,,,90.0,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
470,71,+47,Shaboozey - Last Of My Kind,14,71,,1789,386,0.027,37.0,,,44.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
471,72,-5,"Sevdaliza, Pabllo Vittar & Yseult - Alibi",6,39,,1788,-231,0.013,,,,,,,,,,,,5.0,,,50.0,,,,,,,,,,,,,1.0,,24.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
472,73,+4,My First Story & HYDE - å¤¢å¹»,14,41,,1776,-54,0.029,,,,,3.0,,,,,,,,,,,,,180.0,,,,,,,47.0,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
473,74,+23,Zach Bryan - I Remember Everything,293,16,,1766,154,0.8,42.0,,,43.0,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
474,75,-6,Nickelback - How You Remind Me,7,69,,1751,-251,0.305,61.0,149.0,,52.0,,,,31.0,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
475,76,+6,Mark Ronson - Uptown Funk,2334,1,(x20),1713,-38,10.991,,,,157.0,,,,,,158.0,106.0,158.0,184.0,,141.0,,,,,,62.0,102.0,20.0,,142.0,116.0,,101.0,,123.0,69.0,89.0,,57.0,,7.0,9.0,5.0,57.0,,51.0,62.0,,,6.0,50.0,,37.0,,19.0,,,11.0,,89.0,,25.0,43.0,,,2024-07-02
