,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
234,35,=,NewJeans - Supernatural,11,32,,4018,73,0.043,,,13.0,,,,,,1.0,,,84.0,,,,24.0,,,15.0,102.0,,,,,64.0,6.0,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,17.0,,,33.0,2024-07-01
235,36,+4,"Future, Metro Boomin & Kendrick Lamar - Like That",91,3,(x5),3954,168,0.63,8.0,177.0,,166.0,63.0,33.0,,,,,,,,,154.0,,,,,,153.0,145.0,87.0,26.0,,,36.0,16.0,,195.0,,,168.0,,81.0,36.0,83.0,,,,21.0,,36.0,83.0,58.0,153.0,162.0,89.0,,196.0,83.0,84.0,36.0,16.0,51.0,,,,,,2024-07-01
236,37,-1,Camila Cabello - HOT UPTOWN,4,30,,3941,-4,0.014,50.0,52.0,,,59.0,32.0,,130.0,,,,,140.0,73.0,44.0,,,104.0,,,134.0,,49.0,58.0,,,103.0,12.0,,198.0,,,112.0,,,48.0,142.0,,,,,,20.0,38.0,,,,76.0,,,41.0,28.0,60.0,14.0,30.0,,,90.0,93.0,,2024-07-01
237,38,-7,CYRIL - Stumblin' In,146,25,,3848,-321,0.521,,,,14.0,21.0,,32.0,,,,,,29.0,,63.0,,,,,,,,21.0,21.0,,,,,,7.0,,,,,96.0,,,,,,,,,,31.0,,,,,,91.0,,185.0,,,88.0,,73.0,,,2024-07-01
238,39,+2,Zach Bryan - Pink Skies,39,32,,3835,165,0.16,7.0,90.0,,,18.0,4.0,,,,,,,,,,,,,,,39.0,,,40.0,,,125.0,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,99.0,,,,,,2024-07-01
239,40,+2,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",24,40,,3746,140,0.058,,166.0,,47.0,,,80.0,128.0,,,,,33.0,,13.0,,,,,,,,43.0,,132.0,,155.0,5.0,,33.0,,,,,70.0,1.0,,3.0,20.0,9.0,,37.0,1.0,60.0,23.0,,,,,,183.0,3.0,3.0,7.0,,67.0,,51.0,33.0,,2024-07-01
240,41,+4,Taylor Swift - I Can Do It With a Broken Heart,74,3,(x5),3602,121,0.611,118.0,23.0,,134.0,26.0,71.0,,,,,,,,87.0,167.0,,,,,,9.0,,61.0,34.0,,,,,72.0,125.0,,,135.0,,,,113.0,,,,,,34.0,,,154.0,,108.0,,47.0,,68.0,,71.0,74.0,,30.0,,,141.0,2024-07-01
241,42,+2,Taylor Swift - Lover,676,3,(x13),3569,70,3.27,193.0,35.0,,184.0,35.0,102.0,,,,,,74.0,127.0,101.0,113.0,,,,164.0,57.0,8.0,,51.0,41.0,,,,49.0,113.0,118.0,,,118.0,,,,173.0,,,,,,,,,48.0,,85.0,188.0,25.0,,,,64.0,77.0,,25.0,,,99.0,2024-07-01
242,43,-6,Coldplay - feelslikeimfallinginlove,11,22,,3539,-342,0.048,,13.0,,84.0,129.0,,,81.0,,,,,143.0,,14.0,,,,,,35.0,,40.0,102.0,,,,95.0,100.0,35.0,,,100.0,,,,47.0,,81.0,,,,26.0,,55.0,158.0,,28.0,,,,74.0,143.0,,43.0,78.0,22.0,,,,2024-07-01
243,44,+3,Billie Eilish - LâAMOUR DE MA VIE,46,8,,3520,347,0.349,134.0,136.0,,148.0,72.0,109.0,,,,,,,69.0,25.0,70.0,,,,,40.0,173.0,,50.0,31.0,,,121.0,15.0,58.0,101.0,163.0,,60.0,,,13.0,92.0,,,,,88.0,5.0,59.0,47.0,5.0,,52.0,102.0,31.0,76.0,27.0,164.0,6.0,72.0,71.0,43.0,,,171.0,2024-07-01
244,45,-2,LISA - Rockstar,4,43,,3514,-11,0.013,,,,,,,,,46.0,,,1.0,,21.0,,,,,27.0,27.0,,,,,94.0,10.0,,79.0,,,,,,,,,,,,,,97.0,,,,8.0,,,,28.0,,,,22.0,,,7.0,,,5.0,2024-07-01
245,46,-8,BeyoncÃ© - TEXAS HOLD 'EM,141,2,(x7),3473,-389,1.246,,64.0,,44.0,40.0,78.0,87.0,,,,,,45.0,97.0,56.0,,,,,,75.0,,25.0,51.0,,,143.0,,,23.0,,,50.0,,,,,,,,,,,,27.0,,,42.0,,,,,,,79.0,,,,,,2024-07-01
246,47,+4,Billie Eilish - BLUE,46,7,,3428,416,0.364,171.0,180.0,,89.0,91.0,127.0,,,,,,,77.0,14.0,42.0,,,,,154.0,171.0,,41.0,37.0,,,153.0,26.0,70.0,63.0,170.0,81.0,70.0,,56.0,19.0,77.0,,,,,35.0,10.0,28.0,32.0,40.0,,50.0,168.0,,40.0,33.0,108.0,9.0,78.0,,74.0,82.0,72.0,163.0,2024-07-01
247,48,+2,Morgan Wallen - Last Night,517,17,,3099,70,1.939,12.0,117.0,,,22.0,9.0,,,,,,,,,,,,,,,132.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,2024-07-01
248,49,=,KAROL G - Si Antes Te Hubiera Conocido,11,47,,3053,9,0.031,51.0,,,,,,,129.0,,31.0,,,164.0,,45.0,,1.0,1.0,,,,,133.0,,,,,,17.0,,4.0,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2024-07-01
249,50,+4,SZA - Snooze,570,15,,3032,226,2.353,26.0,71.0,,,144.0,134.0,,,,,,44.0,,,,,,,,39.0,165.0,,147.0,44.0,,,54.0,44.0,,,,,,,,,,,,,54.0,,,,,26.0,,,,23.0,,,,60.0,,,59.0,,,142.0,2024-07-01
250,51,+4,Tommy Richman - DEVIL IS A LIE,16,48,,2913,142,0.041,42.0,50.0,,,38.0,39.0,,,,,,,,,200.0,,,,,,,,,13.0,,,45.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,167.0,,,,,,2024-07-01
251,52,+6,"Future, Metro Boomin, Travis Scott & Playboi Carti - Type Shit",86,4,,2908,224,0.403,17.0,,,91.0,,63.0,,,,,,,,,87.0,,,,,,,,94.0,164.0,,,87.0,29.0,,66.0,,85.0,,,80.0,23.0,115.0,,60.0,,34.0,98.0,37.0,,34.0,,,,,,48.0,,25.0,21.0,,,,54.0,,,2024-07-01
252,53,-5,"Jaxomy, Agatino Romero & Raffaella CarrÃ - Pedro",81,41,,2891,-276,0.258,,,,21.0,,,,,,,146.0,,22.0,,57.0,,,160.0,,,,,29.0,,,,,,,18.0,,4.0,164.0,,23.0,,25.0,,39.0,,,,,45.0,61.0,,,111.0,,,20.0,,,,100.0,38.0,,9.0,,,2024-07-01
253,54,-8,Miley Cyrus - Flowers,536,1,(x168),2886,-394,5.485,,93.0,,82.0,51.0,93.0,,,,,,,72.0,49.0,46.0,,,107.0,,,77.0,,69.0,49.0,,,181.0,57.0,98.0,50.0,,43.0,86.0,,,,102.0,,,,,,88.0,66.0,40.0,98.0,,47.0,,174.0,52.0,,,,60.0,,56.0,,98.0,,2024-07-01
254,55,-2,NewJeans - Bubble Gum,39,38,,2870,10,0.129,,,23.0,,,,,,7.0,,,,,,,60.0,,,24.0,,,,,,170.0,14.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,41.0,,,136.0,2024-07-01
255,56,+5,SZA - Saturn,130,19,,2856,249,0.443,37.0,164.0,,,94.0,165.0,,,,,,31.0,,,,,,,,12.0,179.0,,,25.0,,,169.0,31.0,,,,,,,,,,,,,,,,,,15.0,,,,20.0,,,,50.0,,,21.0,,,160.0,2024-07-01
256,57,=,Taylor Swift - Anti-Hero,619,1,(x50),2835,98,5.007,,36.0,,110.0,37.0,133.0,,,,,,,159.0,142.0,89.0,,,,,164.0,7.0,,60.0,48.0,,,,94.0,,97.0,,,144.0,,,,145.0,,,,,,,,,108.0,,110.0,,61.0,,,,,56.0,,33.0,,,,2024-07-01
257,58,-6,David Guetta & OneRepublic - I Don't Wanna Wait,67,49,,2821,-185,0.159,,33.0,,33.0,88.0,,42.0,,,,,,154.0,,34.0,,,,,,152.0,,135.0,,,,,,,24.0,,,75.0,,,,157.0,,,,,,,,,,,102.0,,,,,,,86.0,,,,,,2024-07-01
258,59,+1,BABYMONSTER - SHEESH,92,24,,2704,87,0.385,,,65.0,,,,,,27.0,,,47.0,,,,,,,28.0,31.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,28.0,,,89.0,2024-07-01
259,60,-4,Disturbed - The Sound of Silence,126,53,,2624,-142,0.331,,,,96.0,,,12.0,,,,,,35.0,,32.0,,,159.0,,,,,,,,,,,,123.0,,15.0,79.0,,67.0,,,,15.0,,,,,39.0,29.0,,,34.0,,,6.0,67.0,55.0,,66.0,,,14.0,51.0,,2024-07-01
260,61,+7,Travis Scott - FEN,266,2,(x2),2613,372,1.016,111.0,,,97.0,185.0,84.0,,,,,,,80.0,,49.0,,,,,,,54.0,27.0,109.0,,,112.0,24.0,,73.0,,70.0,,,,14.0,118.0,,87.0,,81.0,62.0,27.0,92.0,37.0,109.0,,125.0,,,44.0,92.0,23.0,17.0,181.0,,,52.0,,,2024-07-01
261,62,+1,Taylor Swift - Whoâs Afraid of Little Old Me,74,8,,2611,197,0.495,157.0,47.0,,199.0,32.0,98.0,,,,,,,,65.0,,,,,,,20.0,,63.0,43.0,,,,,68.0,,,,163.0,,,,152.0,,,,,,54.0,,,,,123.0,,60.0,,,,,80.0,,50.0,,,,2024-07-01
262,63,-1,NewJeans - Right Now,10,51,,2514,-56,0.027,,,27.0,,,,,,6.0,,,,,,,93.0,,,48.0,,,,,,193.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,124.0,2024-07-01
263,64,-5,The Weeknd - Blinding Lights,1616,1,(x114),2504,-178,14.891,,86.0,,90.0,50.0,,,,,,,,60.0,75.0,40.0,,,,,,,,44.0,55.0,,,,34.0,,86.0,,63.0,83.0,,64.0,,80.0,,,,,,,52.0,49.0,,,37.0,,,46.0,98.0,,86.0,49.0,,,,,,2024-07-01
264,65,-1,Zach Bryan - I Remember Everything,311,19,,2494,119,1.067,23.0,,,,34.0,12.0,,,,,,,,,,,,,,,76.0,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,2024-07-01
265,66,+13,The Kid LAROI - GIRLS,3,66,,2486,421,0.007,85.0,160.0,,192.0,17.0,19.0,,,,,,,,,192.0,,,,,,174.0,,128.0,18.0,,,99.0,,,154.0,,,126.0,,,,140.0,,,,,,,,,,,98.0,,,,,,,,,,,,,2024-07-01
266,67,=,Djo - End of Beginning,133,5,,2451,118,0.893,,,,87.0,64.0,85.0,,,,,,103.0,128.0,,100.0,,,,,23.0,112.0,101.0,93.0,63.0,,,141.0,45.0,,58.0,,55.0,,,,,181.0,,,,,,93.0,,59.0,21.0,,99.0,,39.0,,88.0,,25.0,,,40.0,,,,2024-07-01
267,68,-3,Red Velvet - Cosmic,7,56,,2367,10,0.019,,,,,,,,,10.0,,,51.0,,,,,,,54.0,25.0,,,,,109.0,27.0,,,,,,,,,,,,,,,,,,,,34.0,,,,77.0,,,,,,,35.0,,,24.0,2024-07-01
268,69,-3,Post Malone - Pour Me A Drink,10,45,,2335,-5,0.03,25.0,171.0,,,41.0,18.0,,,,,,,,,,,,,,,,,,117.0,,,156.0,,,,,,,,,,,,,,,,,,,,,121.0,,,,,,,81.0,,,,,,2024-07-01
269,70,+47,The Kid LAROI - NIGHTS LIKE THIS,4,70,,2228,714,0.01,35.0,142.0,,108.0,62.0,55.0,,,,,,,,,153.0,,,,,,189.0,,,45.0,,,148.0,93.0,,100.0,,,,,,,200.0,,,,,,,70.0,,,,,,,,,97.0,95.0,104.0,,,,,,2024-07-01
270,71,+4,Gracie Abrams - us.,11,23,,2212,56,0.044,,60.0,,182.0,33.0,100.0,,,,,,,,162.0,91.0,,,,,,111.0,,75.0,47.0,,,164.0,,,,,,199.0,,,,87.0,,,,,,15.0,,,,,57.0,,,,,,43.0,40.0,,26.0,,,,2024-07-01
271,72,+1,Lee Young Ji - Small girl,10,72,,2197,28,0.021,,,,,,,,,3.0,,,65.0,,,,,,,19.0,190.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,88.0,,,63.0,2024-07-01
272,73,-3,Morgan Wallen - Cowgirls,123,68,,2169,-13,0.316,13.0,,,,65.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
273,74,=,NAYEON - ABCD,17,47,,2156,-11,0.045,,,35.0,,,,,,25.0,,,,,,,,,,43.0,,,,,,142.0,16.0,,,,,,,,,,,,,,,,,,,,87.0,,,,161.0,,,,,,,31.0,,,,2024-07-01
274,75,+10,Taylor Swift - But Daddy I Love Him,74,6,,2122,162,0.498,184.0,61.0,,,39.0,99.0,,,,,,,,96.0,,,,,,,28.0,,68.0,53.0,,,,,75.0,,,,160.0,,,,,,,,,,56.0,,,,,160.0,,57.0,,,,,97.0,,46.0,,,,2024-07-01
275,76,+2,Koe Wetzel & Jessie Murph - High Road,24,61,,2120,47,0.056,14.0,,,,53.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
276,77,-5,Taylor Swift - You Need To Calm Down,402,4,,2110,-64,2.111,,58.0,,173.0,42.0,129.0,,,,,,,,,109.0,,,,,,13.0,,58.0,60.0,,,,88.0,163.0,134.0,,,129.0,,,,170.0,,,,,,,,,137.0,,90.0,,,,,,,87.0,,54.0,,,,2024-07-01
277,78,-2,Feid & ATL Jacob - LUNA,213,53,,2110,-22,0.474,,,,,,,,,,25.0,,,,,,,4.0,10.0,,,,,,,,,,,9.0,,18.0,,,4.0,,,,,,,,,,,,,,,4.0,,,37.0,,,,,,,,,2024-07-01
278,79,+2,Trueno - REAL GANGSTA LOVE,22,73,,2107,83,0.047,,,,,,,,,,18.0,,,,,,,19.0,4.0,,,,,,,,,,,2.0,,6.0,,,6.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2024-07-01
279,80,-3,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",122,76,,2102,16,0.182,,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,2024-07-01
280,81,+2,Dua Lipa - Houdini,235,4,,2102,90,1.403,,82.0,,81.0,75.0,,145.0,,,,,,55.0,,79.0,,,166.0,,,131.0,,24.0,93.0,,,,74.0,140.0,61.0,,,,,,,,,88.0,,,,,,56.0,,,161.0,,,24.0,85.0,,,55.0,,,,,,2024-07-01
281,82,-13,Dua Lipa - Illusion,81,9,,2095,-137,0.325,,28.0,,129.0,107.0,,139.0,,,,,,99.0,190.0,71.0,,,,,,100.0,,39.0,,,,,,,108.0,,,63.0,,,,78.0,,,,,,,,,192.0,,178.0,,,55.0,86.0,,,48.0,,69.0,,,,2024-07-01
282,83,-3,NewJeans - Ditto,559,18,,2064,0,1.804,,,24.0,,,,,,33.0,,,,,,,85.0,,,52.0,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,157.0,2024-07-01
283,84,-2,Jimin & Loco - Smeraldo Garden Marching Band,3,82,,2025,10,0.006,,,,,,,,,70.0,,63.0,,,8.0,,,98.0,,,112.0,,,,,,,,,1.0,126.0,21.0,,,45.0,,85.0,,,,,,,,43.0,,125.0,,,19.0,36.0,,,,54.0,,,39.0,,,10.0,2024-07-01
284,85,+1,GIMS & DYSTINCT - SPIDER,52,79,,1976,20,0.096,,,,,,,1.0,,,,,,1.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,11.0,,,,,,,,,,,,,,,,2024-07-01
285,86,-2,Luke Combs - Fast Car,464,28,,1954,-26,1.405,54.0,,,,24.0,24.0,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,2024-07-01
286,87,+1,AYLIVA & Apache 207 - Wunder,67,71,,1947,36,0.138,,,,2.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,2024-07-01
287,88,-17,"cassÃ¶, RAYE & D-Block Europe - Prada",321,9,,1944,-233,1.657,,62.0,,35.0,78.0,,,,,,,,61.0,,,,,,,,82.0,,66.0,,,,,,,47.0,,,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
288,89,NEW,BABYMONSTER - FOREVER,1,89,,1929,1929,0.002,,,,,,,,,93.0,,,28.0,,,,,,,56.0,26.0,,,,,84.0,34.0,,,,,,,,,,,,,,,,,,,,17.0,,,,140.0,,,,,,,29.0,,,18.0,2024-07-01
289,90,=,PASHANIM - Mittelmeer,39,70,,1860,43,0.08,,,,5.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,2024-07-01
290,91,+17,Taylor Swift - The Smallest Man Who Ever Lived,74,12,,1848,230,0.363,198.0,63.0,,,46.0,111.0,,,,,,,,111.0,,,,,,,33.0,,85.0,59.0,,,,,61.0,,,,,,,,,,,,,,31.0,,,,,,,97.0,,,,,180.0,,91.0,,,,2024-07-01
291,92,+6,Benson Boone - Slow It Down,83,76,,1827,91,0.144,,24.0,,,57.0,194.0,,,,,,,,,101.0,,,,,,102.0,,,70.0,,,50.0,,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,2024-07-01
292,93,+2,NewJeans - ETA,267,18,,1801,38,0.739,,,32.0,,,,,,16.0,,,,,,,,,,114.0,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
293,94,-2,"Rvssian, Rauw Alejandro & Ayra Starr - Santa",75,57,,1791,-17,0.188,,,,,,,,76.0,,80.0,,,,,122.0,,21.0,7.0,,,,,,,,,,,19.0,,30.0,,,13.0,,,,,,,,,,,,,,,7.0,,,56.0,,,,,,,,,2024-07-01
294,95,-1,Myke Towers & Bad Bunny - ADIVINO,67,57,,1778,12,0.147,,,,,,,,,,37.0,,,,,,,16.0,8.0,,,,,,,,,,,22.0,,15.0,,,7.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,2024-07-01
295,96,+5,RIIZE - Boom Boom Bass,14,66,,1769,55,0.03,,,56.0,,,,,,8.0,,,147.0,,,,,,,118.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
296,97,-1,Carbonne - Imagine,60,82,,1761,6,0.107,,,,,,,2.0,,,,,,3.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,35.0,,,,,,,,,,,,,,,,2024-07-01
297,98,+4,Feid - SORRY 4 THAT MUCH,24,92,,1740,26,0.041,,,,,,,,,,50.0,,,,,,,3.0,12.0,,,,,,,,,,,30.0,,31.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2024-07-01
298,99,+10,Ella Langley & Riley Green - you look like you love me,8,99,,1740,165,0.014,27.0,,,,110.0,27.0,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
299,100,-9,Moneybagg Yo - WHISKEY WHISKEY,17,78,,1734,-80,0.032,9.0,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
300,101,+11,Coldplay - Yellow,313,37,,1728,193,1.384,,25.0,,,137.0,,,,,,,,192.0,131.0,145.0,,,,,,56.0,,160.0,106.0,,,,97.0,111.0,120.0,,,,,,,129.0,,,,,,24.0,,64.0,101.0,,105.0,,151.0,,,,,191.0,,58.0,,,,2024-07-01
301,102,-5,NewJeans - OMG,488,19,,1718,-29,1.503,,,34.0,,,,,,28.0,,,,,,,,,,80.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,2024-07-01
302,103,+10,aespa - Drama,235,28,,1709,174,0.651,,,103.0,,,,,,34.0,,,112.0,,,,88.0,,,53.0,78.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,61.0,,,83.0,2024-07-01
303,104,-15,Fleetwood Mac - Dreams,1054,22,,1705,-128,2.44,,72.0,,,47.0,51.0,,,,,,,,,,,,,,,106.0,,73.0,29.0,,,,,,,,,179.0,,,,,,,,,,,,,,,163.0,,,,,,,91.0,,,,,,2024-07-01
304,105,-6,Bad Bunny - Moscow Mule,761,19,,1693,-26,1.703,186.0,,,,,,,,,29.0,,,,,,,17.0,21.0,,,,,,,,,,,197.0,,27.0,,,10.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,2024-07-01
305,106,-3,NewJeans - Hype Boy,634,27,,1691,-18,1.651,,,53.0,,,,,,18.0,,,,,,,,,,69.0,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,2024-07-01
306,107,-20,Dua Lipa - New Rules,1026,3,(x5),1687,-248,6.552,,65.0,,,73.0,,,,,,,,118.0,86.0,,,,,,91.0,79.0,,72.0,57.0,,,,,143.0,,,,175.0,,,,136.0,,,,,,,65.0,75.0,66.0,,112.0,,117.0,66.0,93.0,129.0,,103.0,,70.0,,,,2024-07-01
307,108,+11,GReeeN - Panama,14,105,,1680,168,0.029,,,,9.0,,,,,,,,,,,37.0,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,2024-07-01
308,109,+6,Taylor Swift - Guilty as Sin,74,8,,1651,121,0.457,,139.0,,,48.0,130.0,,,,,,182.0,,58.0,,,,,,53.0,88.0,,,54.0,,,,,69.0,,,,,,,,,,,,,,,,,69.0,,,,19.0,,,,55.0,185.0,,20.0,,,158.0,2024-07-01
309,110,-3,Marshmello & Kane Brown - Miles on It,32,69,,1644,-4,0.086,84.0,48.0,,,,21.0,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,,,,,,,,,,,,,2024-07-01
310,111,-18,Harry Styles - As It Was,820,1,(x177),1637,-168,7.878,,84.0,,155.0,117.0,,,,,,,,86.0,52.0,93.0,,,,,121.0,108.0,,55.0,108.0,,,,75.0,161.0,109.0,,,155.0,,,,134.0,,,,,,,78.0,86.0,78.0,,81.0,152.0,145.0,97.0,,,74.0,73.0,,81.0,,,,2024-07-01
311,112,-8,Peter Schilling - Major Tom,17,104,,1636,-67,0.04,,,,3.0,,,,,,,,,,,78.0,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
312,113,+3,Karan Aujla & Yeah Proof - Who They,3,113,,1585,59,0.005,,,,,,11.0,,,,,,,,,,,,,,,,5.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
313,114,+4,Tom Odell - Another Love,1039,6,,1583,70,4.302,,128.0,,92.0,,,161.0,,,,,,62.0,,36.0,,,,,,97.0,,48.0,,,,,77.0,,76.0,,56.0,,,,57.0,,,,,,,55.0,,43.0,,,71.0,,,118.0,,,78.0,183.0,,,92.0,,,2024-07-01
314,115,-1,Gunna - one of wun,53,43,,1578,46,0.148,32.0,112.0,,,,101.0,,,,,,,,,,,,,,,,,,,,,43.0,81.0,,,,,,,,,,,,,3.0,,,,,,120.0,,,,,,,,,,,,,,2024-07-01
315,116,+13,"Charli xcx & Lorde - The girl, so confusing version with lorde",10,85,,1568,102,0.018,,39.0,,,,,,,,,,,,44.0,77.0,,,,,,78.0,,109.0,42.0,,,,,,,,,,,,,128.0,,,,,,78.0,,,,,,,,128.0,,,63.0,,,,,,,2024-07-01
316,117,-11,Natasha Bedingfield - Unwritten,179,8,,1551,-146,0.927,,54.0,,83.0,74.0,159.0,,,,,,,166.0,,120.0,,,,,,195.0,,136.0,128.0,,,,,,52.0,,65.0,,,,,,,,,,,,,,,,,,,84.0,,,,,,,47.0,,,2024-07-01
317,118,+24,Coldplay - A Sky Full of Stars,187,49,,1540,167,1.065,,31.0,,,186.0,,,,,,,,171.0,194.0,95.0,,,,,,63.0,,99.0,180.0,,,,89.0,91.0,174.0,,,,,,,105.0,,95.0,,,,48.0,,69.0,,,144.0,,,,,168.0,,171.0,,77.0,,,,2024-07-01
318,119,-8,YOASOBI - Idol,323,35,,1540,-15,0.849,,,15.0,,,,,,,,,,,,,,,,51.0,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
319,120,+3,"Gradur, SDM & Rsko - TI TI TI",17,111,,1532,42,0.025,,,,,,,6.0,,,,,,9.0,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,2024-07-01
320,121,+22,Eminem - Mockingbird,598,17,,1531,160,1.663,,174.0,,68.0,115.0,184.0,,,,,126.0,,113.0,,39.0,,,,,,,,176.0,173.0,,,,65.0,,54.0,,62.0,139.0,,,,123.0,,,,,,61.0,,48.0,,,127.0,,,77.0,,,,82.0,,,77.0,96.0,,2024-07-01
321,122,=,Heuss L'enfoirÃ© - MÃ©lanine,58,106,,1526,27,0.085,,,,,,,3.0,,,,,,6.0,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,2024-07-01
322,123,+36,Vaundy - è¸ãå­,24,123,,1522,243,0.481,,,41.0,,,,,,12.0,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
323,124,=,Morgan Wallen - Thinkinâ Bout Me,471,42,,1519,36,0.899,28.0,,,,97.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
324,125,-25,The Killers - Mr. Brightside,950,37,,1515,-201,2.232,,34.0,,156.0,66.0,124.0,,,,,,,,,,,,,,,89.0,,,72.0,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
325,126,-5,Mrs. GREEN APPLE - ã©ã¤ã©ãã¯,77,96,,1500,0,0.113,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
326,127,+3,Karan Aujla - IDK HOW,4,127,,1494,40,0.007,,,,,,15.0,,,,,,,,,,,,,,,,2.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
327,128,+44,Billie Eilish - THE GREATEST,46,9,,1489,269,0.265,,,,,113.0,,,,,,,,105.0,35.0,146.0,,,,,,,,62.0,52.0,,,,72.0,87.0,170.0,,,82.0,,,53.0,116.0,,,,,,14.0,96.0,63.0,70.0,,82.0,,,116.0,43.0,,19.0,90.0,,,,,,2024-07-01
328,129,-19,Ed Sheeran - Perfect,2238,1,(x2),1480,-81,9.252,,151.0,,,95.0,125.0,,,,,,169.0,125.0,94.0,108.0,,,,174.0,116.0,182.0,115.0,76.0,91.0,,,,50.0,136.0,155.0,,90.0,91.0,,,,166.0,,,,,,,,76.0,46.0,,64.0,,170.0,150.0,,,90.0,88.0,,23.0,,,169.0,2024-07-01
