,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
286,87,NEW,Verschiedene Interpret:innen - Petty Country: A Country Music Celebration Of Tom Petty,1,87,,1646,1646,0.002,20.0,,,67.0,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
287,88,+108,RIIZE - RIIZING - The 1st Mini Album,15,6,,1631,527,0.046,,,,,33.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,2024-07-01
288,89,+17,INI - THE FRAME - EP,9,61,,1600,0,0.016,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
289,90,+132,AC/DC - Back In Black,676,4,,1599,552,3.505,88.0,,,154.0,,,,27.0,80.0,,,,,99.0,,,111.0,,,,,85.0,,,,,,,,,,72.0,,,,84.0,101.0,,,,,,,,,,,,,,,,56.0,,28.0,,,34.0,41.0,,2024-07-01
290,91,+29,Macklemore & Ryan Lewis - The Heist,964,7,,1581,111,5.182,,,,128.0,,38.0,115.0,,48.0,,152.0,,,,,,,,,,,,,,,48.0,33.0,,,13.0,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
291,92,+18,Keane - The Best of Keane,23,16,,1568,30,0.328,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
292,93,+12,Beatsteaks - PLEASE,4,71,,1568,-32,0.007,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
293,94,+22,å®å¤ç°å - SCIENCE FICTION,48,94,,1568,60,0.069,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
294,95,+14,BLACKPINK - THE ALBUM,1216,1,(x10),1540,-3,2.337,,,,,,,,,,,,56.0,,,,,,11.0,,,,,,,46.0,,,16.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2024-07-01
295,96,+3,Shania Twain - Greatest Hits,216,24,,1538,-165,1.126,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
